0.18,1.6,7.34,0.77,8,256,2,0,1.199e+07,1.199e+07,1.199e+07,1.199e+07,1.199e+07,1.199e+07,1.199e+07,1.199e+07,2
0.2,16.41,7.69,0.88,12,256,2,0,1.208e+07,1.208e+07,1.208e+07,1.208e+07,1.208e+07,1.208e+07,1.208e+07,1.15e+07,2
0.13,14.35,7.1,0.73,3,16,2,0,1.25e+07,1.25e+07,1.22e+07,1.19e+07,1.16e+07,1.13e+07,1.1e+07,1.07e+07,2
0.17,15.51,7.52,0.74,8,128,2,0,1.15e+07,1.15e+07,1.15e+07,1.15e+07,1.12e+07,1.1e+07,1.095e+07,1.07e+07,2
0.15,15.51,7.55,0.71,4,64,2,0,1.13e+07,1.13e+07,1.13e+07,1.11e+07,1.09e+07,1.07e+07,1.05e+07,1.03e+07,2
0.14,14.27,7.17,0.76,1,16,2,0,4e+06,3.98e+06,3.96e+06,3.94e+06,3.92e+06,3.9e+06,3.88e+06,9.86e+06,2
0.16,16.05,7.57,0.68,8,128,2,0,9.97e+06,9.97e+06,9.97e+06,9.97e+06,9.97e+06,9.97e+06,9.97e+06,9.49e+06,2
0.18,16.02,7.33,0.8,8,128,2,0,9.45e+06,9.45e+06,9.45e+06,9.45e+06,9.45e+06,9.45e+06,9.45e+06,9.45e+06,2
0.16,15.83,7.55,0.74,4,128,2,0,9.49e+06,9.49e+06,9.49e+06,9.49e+06,9.39e+06,9.29e+06,9.19e+06,9e+06,2
0.2,16.42,7.61,0.81,8,128,2,0,8.79e+06,8.79e+06,8.79e+06,8.79e+06,8.79e+06,8.79e+06,8.79e+06,8.79e+06,2
0.18,16.06,7.39,0.81,8,128,2,0,9e+06,9e+06,9e+06,9e+06,9e+06,9e+06,9e+06,8.69e+06,2
0.18,16.02,7.33,0.8,8,128,2,0,8.29e+06,8.29e+06,8.29e+06,8.29e+06,8.29e+06,8.29e+06,8.29e+06,8.29e+06,2
0.2,16.42,7.61,0.81,8,128,2,0,8.25e+06,8.25e+06,8.25e+06,8.25e+06,8.25e+06,8.25e+06,8.25e+06,8.25e+06,2
0.18,16.25,7.48,0.85,8,128,2,0,8.5e+06,8.5e+06,8.5e+06,8.5e+06,8.5e+06,8.5e+06,8.5e+06,7.99e+06,2
0.15,17.56,7.41,0.82,8,128,2,0,9.8e+06,9.8e+06,9.8e+06,9.42e+06,9.05e+06,8.7e+06,8.29e+06,7.89e+06,2
0.18,16.02,7.33,0.8,8,128,2,0,7.79e+06,7.79e+06,7.79e+06,7.79e+06,7.79e+06,7.79e+06,7.79e+06,7.79e+06,2
0.18,16.06,7.39,0.81,8,128,2,0,8.39e+06,8.39e+06,8.39e+06,8.39e+06,8.39e+06,8.39e+06,8.39e+06,7.59e+06,2
0.19,16.13,7.61,0.88,4,64,2,0,7.77e+06,7.77e+06,7.77e+06,7.77e+06,7.77e+06,7.69e+06,7.59e+06,7.49e+06,2
0.18,15.97,7.36,0.75,8,128,2,0,7.49e+06,7.49e+06,7.49e+06,7.49e+06,7.49e+06,7.49e+06,7.49e+06,7.49e+06,2
0.2,16.42,7.61,0.81,8,128,2,0,7.45e+06,7.45e+06,7.45e+06,7.45e+06,7.45e+06,7.45e+06,7.45e+06,7.45e+06,2
0.18,16.25,7.48,0.85,8,128,2,0,7.69e+06,7.69e+06,7.69e+06,7.69e+06,7.69e+06,7.69e+06,7.69e+06,6.99e+06,2
0.19,16.4,7.55,0.84,8,128,2,0,7.45e+06,7.45e+06,7.45e+06,7.45e+06,7.45e+06,7.45e+06,7.45e+06,6.99e+06,2
0.16,16.05,7.57,0.68,8,128,2,0,7.3e+06,7.3e+06,7.3e+06,7.3e+06,7.3e+06,7.3e+06,7.3e+06,6.95e+06,2
0.19,16.43,7.61,0.83,8,128,2,0,6.59e+06,6.59e+06,6.59e+06,6.59e+06,6.59e+06,6.59e+06,6.59e+06,6.59e+06,2
0.17,16.09,7.43,0.74,8,128,2,0,6.95e+06,6.95e+06,6.95e+06,6.95e+06,6.95e+06,6.95e+06,6.95e+06,6.49e+06,2
0.18,15.99,7.39,0.81,8,128,2,0,6.39e+06,6.39e+06,6.39e+06,6.39e+06,6.39e+06,6.39e+06,6.39e+06,6.39e+06,2
0.18,16.05,7.45,0.83,8,128,2,0,6.45e+06,6.45e+06,6.45e+06,6.45e+06,6.45e+06,6.45e+06,6.45e+06,5.99e+06,3
0.2,16.43,7.56,0.85,8,128,2,0,5.99e+06,5.99e+06,5.99e+06,5.99e+06,5.99e+06,5.99e+06,5.99e+06,5.99e+06,3
0.18,15.99,7.39,0.81,8,128,2,0,5.9e+06,5.9e+06,5.9e+06,5.9e+06,5.9e+06,5.9e+06,5.9e+06,5.9e+06,3
0.15,15.33,7.52,0.73,4,64,2,0,6.29e+06,6.29e+06,6.29e+06,6.2e+06,6.01e+06,5.92e+06,5.82e+06,5.72e+06,3
0.16,16.1,7.36,0.77,6,128,1,0,8e+06,8e+06,7.56e+06,7.2e+06,6.79e+06,6.4e+06,5.98e+06,5.59e+06,3
0.18,15.99,7.39,0.81,8,128,2,0,5.49e+06,5.49e+06,5.49e+06,5.49e+06,5.49e+06,5.49e+06,5.49e+06,5.49e+06,3
0.18,17.5,7.45,0.75,6,64,2,0,6.19e+06,6.19e+06,6.19e+06,6.19e+06,5.95e+06,5.72e+06,5.45e+06,5.19e+06,3
0.16,15.83,7.55,0.74,4,64,2,0,5.3e+06,5.3e+06,5.3e+06,5.3e+06,5.1e+06,5.4e+06,5.2e+06,5e+06,3
